gene_name,plate_well_ID,Target_terminus,Ensembl_ID,input
MED29,P0007_G06,N,ENST00000615911,"ENST00000615911,N"
RAD17,P0021_C01,N,ENST00000616683,"ENST00000616683,N"
ORAI1,P0004_G12,N,ENST00000617316,"ENST00000617316,N"
RBM15,P0017_F09,C,ENST00000618772,"ENST00000618772,C"
WASF2,P0008_H06,N,ENST00000618852,"ENST00000618852,N"
SMARCB1,P0018_H02,C,ENST00000618915,"ENST00000618915,C"
RAB9A,P0001_G06,N,ENST00000618931,"ENST00000618931,N"
PIP5K2B,P0006_G02,C,ENST00000619039,"ENST00000619039,C"
AATF,P0012_E09,N,ENST00000619387,"ENST00000619387,N"
PSMB3,P0006_A06,C,ENST00000619426,"ENST00000619426,C"
PSMC3,P0006_A10,N,ENST00000619920,"ENST00000619920,N"
FTH1,P0021_D04,N,ENST00000620041,"ENST00000620041,N"
DDX6,P0019_A02,C,ENST00000620157,"ENST00000620157,C"
NUMA1,P0012_G02,N,ENST00000620566,"ENST00000620566,N"
G6PD,P0011_D10,N,ENST00000621232,"ENST00000621232,N"
ANAPC16,P0007_D10,N,ENST00000621663,"ENST00000621663,N"
AP2B1,P0021_E12,C,ENST00000621914,"ENST00000621914,C"
SCAMP1,P0005_G07,N,ENST00000621999,"ENST00000621999,N"
DNM1,P0008_F03,C,ENST00000627543,"ENST00000627543,C"
ATP6AP2,P0018_E02,C,ENST00000636580,"ENST00000636580,C"
ARID1B,P0018_G07,N,ENST00000636930,"ENST00000636930,N"
CANX,P0006_F07,C,ENST00000638706,"ENST00000638706,C"
STIM2,P0016_C05,C,ENST00000639640,"ENST00000639640,C"
HNRNPU,P0021_E11,C,ENST00000640218,"ENST00000640218,C"
PHGDH,P0011_A06,C,ENST00000641023,"ENST00000641023,C"
GSTP1,P0011_A04,C,ENST00000642444,"ENST00000642444,C"
SLC37A4,P0015_D03,C,ENST00000642844,"ENST00000642844,C"
SRP72,P0018_A07,N,ENST00000642900,"ENST00000642900,N"
SLC33A1,P0015_B12,C,ENST00000643144,"ENST00000643144,C"
TCOF1,P0012_D04,N,ENST00000643257,"ENST00000643257,N"
PGK1,P0019_E09,C,ENST00000644362,"ENST00000644362,C"
SMARCE1,P0018_H08,N,ENST00000644701,"ENST00000644701,N"
COL4A3BP,P0001_D03,C,ENST00000645483,"ENST00000645483,C"
RPS6KA3,P0014_D12,N,ENST00000645845,"ENST00000645845,N"
SMARCA4,P0018_G10,N,ENST00000647230,"ENST00000647230,N"
